,name,desc
887,Whale Communications,"Provider of access products, including secure sockets layer virtual private networks, and Web application firewalls,"
888,Revascular Therapeutic,Developer of medical devices. The company develops technology for the intravascular treatment of complex lesions
889,One4all Gift Cards,Creator of national multi-store gift voucher and gift card. The company supplies gift cards and
890,myWealth.com,Provider of control over investors portfolios by mastering the fundamentals of key markets. The company
891,AirXpanders,Developer of technology for tissue expansion after reconstructive surgery. The company\'s technology primarily enables patients
892,Tiscali Telecom,Provider of internet services. The company provides broadband and narrow band internet services in France.
893,Pure Digital Technologies,Developer of digital imaging solutions for the mass market. The company offers one-time-use digital cameras
894,Realtime Technology,Provider of three dimensional visualization technology. The company provides a technology platform enabling its clients
895,3GUU Mobile Entertainment Industrial Co.,Developer of games for mobile phones. The company develops mobile game platform that allows users
896,MoPowered,"Developer and operator of transactional systems for mobile commerce, banking and payments. The company provides"
897,Metal Supermarkets,"Supplier of small quantity metals. The company supplies such metals as: alloy bar, aluminum, cold"
898,Argintex,Developer of therapeutics like small molecule inhibitors of arginase.The company’s arginase also leads to the
899,Pollo Rey,"Chain of Mexican food restaurants. The company provides dishes like Gourmet Burritos, Roasted Chicken, Fish"
900,ecMarkets,"Provider of online purchasing provisions, strategic sourcing and supplier relationship management (SRM) tools to the"
901,Data Marketplace,Operator of an online marketplace for data. The company provides a platform linking people seeking
902,Icon Interventional Systems,Operator of a cardiovascular medical device company. The company offers Nuloy stent system that provides
903,Corella Electric Wire & Cable,Manufacturer and supplier of telecommunication and electrical cables. The company is in the miscellaneous fabricated
904,Certainty Solutions,Provider of comprehensive infrastructure management services. The company specialized in providing Integrated Managed Services for
905,Famgro,Provider of an indoor farming platform. The company provides a farming system equipped with a
906,MagniFire Websystems,Provider of comprehensive web infrastructure security solutions. The company develops products that enables businesses to
907,Wicked Quick Industries,Designer and manufacturer of apparel for men and women. The company\'s brand is available in
908,SweTree Technologies,Developer of technologies for improving the value and productivity of trees and wood fibers. The
909,InterCure,Provider of a medical device called RESPeRATE. The company\'s product helps in reducing blood pressure.
910,Online Marketing Group,Operator of an online directory network. The company offers marketing services to businesses operating in
911,NetBuy,"Provider of e-commerce purchasing services. The company provides services for OEMs, contract manufacturers and electronic"
912,Realtime Worlds,Developer of video games.
913,ChipData,Provider of software and services to the electronics industry. The company provides services to the
914,LifeMasters Supported SelfCare,Provider of health promotion and disease management programs and services. The company offers programs for
915,Wakesoft,Provider of application architecture solutions. The company’s Wakesoft Architecture Server allows users to build enterprise-level
916,National Medical Solutions,"Provider of clinical, managerial, technical, educational and market services to the hospital partners. The company\'s"
917,Net.Genesis,"Provider of software and services that empower companies to understand, optimize and accelerate their online"
918,Diatos,Operator of a bio-pharmaceutical company that develops anti-cancer therapies based on cellular-delivery and drug-targeting technologies.
919,Lévêque Electricité,"Provider of electric cables. The company develops and provides electric cable for supermarkets, hospitals, hotels,"
920,Strongroom Solutions,Provider of accounts payable and payment automation services for midsize companies. The company offers a
921,Active Reasoning,Provider of information technology controls automation software for information technology policy enforcement. The company’s solution
922,Intellikine,"Developer of small molecule drugs that target signal transduction networks for the treatment of cancer,"
923,Haystack Labs,Developer of computer intrusion detection software. The company develops a large database of known attacks
924,McAfee Wireless Security,"Provider of Wi-Fi security tools for wireless networks. The company\'s products include wireless security, wireless"
925,SupportLocal,Operator of a social network for sharing information and opinions. The company\'s platform enables people
926,SinglePlatform,Provider of restaurant content to publishers. The company develops a digital portal for local businesses
927,CheckPoint Pumps & Systems,"Manufacturer of pumps. The company designs and manufactures chemical injection pumps and pump packages, control"
928,ConjuChem,Developer of novel therapeutics with an initial focus on diabetes. The company makes use of
929,Peptor,Developer of products to treat autoimmune diseases. The company develops small cyclical analogues of peptide
930,SensiVida Medical Technologies,Developer and provider of minimally invasive diagnostic devices and technologies. The company develops and provides
931,CuaQea,Provider of a voice micro-blog/social network enabling users to record and share voice messages with
932,Corvas,Manufacturer and developer of therapeutic agents for the prevention and treatment of cardiovascular and inflammatory
933,GenQuest,Provider of functional genomics screening for cancer therapeutics and diagnostics. The company\'s technology platform currently
934,OpenAir,Developer of online business management software. The company offers a suite of PSA (professional services
935,Lalalab,Provider of photo printing application. The company provides an application that allows its users to
936,InstantService,Provider of live chat services. The company offers various customer communication technologies for online businesses
937,ProfitLine,Provider of telecom expense and mobility management services.
938,Intermed Discovery,Developer of natural products for the life science industry. The company generates proprietary product pipelines
939,Solar Industries,Manufacturer and marketer of solar-power components. The company pursued a growth and buy-and-build strategy along
940,Nx Networks,"Provider of network switching products for enterprise networks. The company\'s products unify voice, data and"
941,Energyflo Insulation Technologies,"Developer of dynamic insulation technology for low carbon, energy-efficient buildings. The company\'s product, the Energyflo"
942,Atrionix,Developer of catheter-based system for the treatment of atrial fibrillation. The company has developed several
943,Reppler,Provider of social media monitoring service. The company designs and manage online image across different
944,ProCyte,"Developer and manufacture of wound care, haircare and skin health products. The firm initially focused"
945,Kanisa Pharmaceuticals,Provider of oncology focused pharmaceutical services. The company is focused on developing new treatments for
946,Levanta,"Provider of linux systems management, systems provisioning and software deployment to address management challenges at"
947,Tastemakers,"Provider of social network for books lovers. The company allows its users, including authors, publishers"
948,JouleX,Provider of energy management systems for data centers and enterprise networks. The company\'s main product
949,Top Prospect,Provider of a social recruiting site. The company provides recruiting platform to rewards people for
950,ShockWatch (Equipment Monitoring Division),Manufacturer of damage prevention products. The company develops equipment monitoring products to prevent damage.
951,Panomics,"Provider of a suite of assay products for various low to mid-plex genetic, protein, and"
952,Tatara Systems (Certain Mobile Broadband unit assets),"Provider of connection management software and mobility gateway software to support Authentication, Authorization and Accounting"
953,LEDUC,Operator of a construction company. The company specializes in wood framing for stairs and industrial
954,LifeEnsured,Operator of an organization which manages digital accounts of the deceased. The company partners with
955,System General,Manufacturer of semiconductors and analog and digital circuits. The company also designs ICs used in
956,MallStreet,"Provider of an online retail portal. The company offers portable electronics, home equipment, things for"
957,OakNet Publishing,Provider of newsletter mailing service and ezine ad agency.
958,enScaler,Provider of middleware services to enterprises to deliver streaming content. The company provides licensed platforms
959,Socrates MEdia,Developer and seller of content based products. The company publishes and markets required information on
960,Custom Solutions USA,"Provider of brand merchandise programs. The company offers branded product, ecommerce and marketing services. Its"
961,Hurra Communications,Provider of integrated online marketing services. The company provides products and services on the subjects
962,WCS Wireless-Licences,Provider of wireless telecommunication services. The company was formed to acquire and hold spectrum licenses
963,BPL Global,Provider of electric utilities with a suite of smart grid services. The company provides end-to-end
964,The HUB Brussels,"Provider of co-working spaces. The company provides coworking spaces, events on social innovation and professional"
965,StopTheHacker,"Provider of website security. The company provides SaaS services to web hosters, website owners, administrators"
966,Optiva,Developer of self-assembling nanomaterials. The company is engaged in developing and manufacturing self-assembling nanomaterials for
967,Saltire Group International,Operator of an offshore company in the oil and gas sector. The company engages itself
968,Directr,Provider of a mobile application for creating videos. The company\'s application provides users with the
969,Orchestream,Provider of service activation and performance management software to global telecommunications network operators. The company\'s
970,Nomadix,Provider of network devices for nomadic computing and public Internet access. The company offers the
971,Res-Q Healthcare Systems,Provider of staffing and scheduling software for hospitals. The company provide Web-enabled software application that
972,MeNetwork,Developer of location-based mobile marketing software for businesses and consumers. The company allows local merchants
973,SiXis,Developer of silicon circuit board technology. The company provides chip-level integration through a Silicon Integrated
974,Neohapsis,"Provider of mobile and cloud security services. The company provides governance, risk and compliance products"
975,CloudLink Technologies,Provider of cloud security and management services. The company provides a software security appliance that
976,Alpha Mos,Manufacturer and developer of electronic sensing instruments for analyzing the chemical and sensory properties of
977,Destination Kiruna,"Operator of a tourism company in the region of Kiruna. The company organizes events, guided"
978,Auris Medical,Developer of therapies for the treatment of inner ear disorders. The company focuses on the
979,Arryx,"Developer of holographic optical trapping (HOT) technology for optically controlled measurement and manipulation in nanotechnology,"
980,Croice,Provider of a mobile application for bloggers. The company provides a platform for bloggers to
981,Neul,Developer of disruptive wireless network technology to enable the use of television white space spectrum.
982,Theta Optics,Provider of optical products. The company operates shops that sell optical glasses and other optical
983,MoboTap,Developer of a browser technology for mobile devices. The company is a mobile technology developer
984,Neorphys,Operator of a biopharmaceutical company focusing on visceral pain management. The company discovered analgesic drug
985,Outside.In,"Provider of a data and technology platform that develops, organizes, and distributes hyperlocal news online."
986,Youlicit,Operator of a web content recommendation engine. The company allows users to discover the web
987,DocMorris,Provider of an online drugstore. The company operates an online pharmacy store serving the German
988,Chuisy,Operator of a social networking platform for sharing shopping decisions. The company offers a social
989,Top Aces Consulting,"Provider of airborne combat training services. The company provides airborne services, such as close air"
990,FullSpeed,Provider of an internet consulting and advertising service. The company provides listing advertising and search
991,DF&R Restaurants,Owner of various restaurant chains. The company owns and operates 53 casual dining restaurants in
992,International Network Services,Provider of network consulting and security services. The company provides services for the full life
993,Sequent,Manufacturer of computer systems.
994,Valocor Therapeutics,"Developer of therapies to treat dermatological diseases. The company focuses on moderate to severe acne,"
995,Virtusa,"Provider of information technology services. The company\'s offerings include application outsourcing, technology implementation and technology"
996,ITmedia,"Operator of an online IT publishing platform. The company provides various information about IT industries,"
997,Delos WomensHealth,Provider of healthcare services to women.
998,DIY Real Estate Solutions,"Provider of an online property management software. The company offers Property Management software, an integrated"
999,Molecular Engines Laboratories,Developer of a new generation of drugs against cancer. The company\'s research is focused on
1000,Lana Interim,"Operator of an employment agency. The company matches candidates with job opportunities in manufacturing, construction,"
1001,Moki.TV,Operator of an online video directory. The company provides an e-commerce platform for the television
1002,e-Xstream engineering,Provider of software and engineering services. The company develops a non-linear multi-scale modelling software platform
1003,Guardium,Developer of database security software. The company develops software for preventing information leaks from the
1004,Westwave Communications,"Developer of software solutions. The company develops software solutions that enable Local Exchange Carriers (LECs),"
1005,Gynecare,Developer of medical devices for the treatment of uterine disorders. The company offers devices like
1006,T_O_P Oberflächen,"Provider of paint products. The company provides scratch-resistant surface coating of thermally sensitive, optically transparent"
1007,Theralogix,Provider of health benefits of certain nutrients to their patients. The company develop nutritional supplements
1008,Exclara,Developer of digital power management platforms for solid state lighting solutions. The company offers small
1009,Sagres Discovery,"Provider of oncogene discovery, individualized cancer profiling, drug target validation and therapeutic development."
1010,Tipp24,"Owner of lottery companies in the U.K. and Spain. The company, through its subsidiaries, enables"
1011,FASgen,Developer of therapeutic drugs. The company designed and synthesized many compounds that selectively inhibit fatty
1012,Viddyou,Provider of custom-built video service that allows users to archive and express their life in
1013,Sqipp,Developer of a location based mobile ordering application from restaurants. The company enables restaurants to
1014,Covanta Holding,"Manufacturer of infrastructure for the conversion of waste to energy, as well as other waste"
1015,Gnodal,Developer of a technology that improves performance and power in data centers. The company\'s technology
1016,Qs Semiconductor Australia,Developer of disruptive non-volatile random access memory. The company offers a computer non-volatile memory of
1017,Gravitant,Provider of cloud computing services. The company develops software designed to enable the deployment of
1018,NeoRad,"Developer of medical products in the filed of radiology. The company develops, manufactures and sells"
1019,Racing-Live,"Operator of a motor sports website. The company\'s website covers live updates, news, and information"
1020,Loopport,Provider of an online music sample library. The company provides a library of every genre
1021,Ascotfirst.com,Owner and operator of an online property portal. The company offers the facility to apply
1022,MarketHome,Provider of e-mail campaign management services. The company provides traditional retailers with direct marketing software
1023,Somnus Medical Technologies,Developer and manufacturer of medical devices. The company\'s medical devices utilize proprietary radiofrequency technology for
1024,Digitalsmiths,Owner and Operator of a video indexing and digital content publishing technology company. The company\'s
1025,vVault,Provider of mobile productivity applications and software infrastructure. The company\'s technology platform provides mobile professionals
1026,Spectralus,Developer of solid-state green laser platform. The company\'s product is suitable for integration into mobile
1027,Bargain Network,Provider of relevant product pricing information. The company provides its members with day to day
1028,LogLogic,Developer of log data management and security event management solutions for the business operations of
1029,Geneart,Manufacturer of integrated system solutions for DNA engineering and processing. The company provides software and
1030,Toroleo,Provider of a price and product comparison platform for the automotive sector. The company allows
1031,Tomaisins International,Developer of seeds for tomato raisins. The company develops seeds for the use of the
1032,GazeHawk,Provider of eye tracking services using ordinary Webcams. The company offers an eye tracking technology
1033,Dinamundo,Provider of a social check in service that rewards users who check in to other
1034,Anchovi Labs,"Developer of software to help people organize, browse and share their personal photo collection. The"
1035,Information Development Consultants,Developer of a fund accounting software for government and not-for-profit organizations. The company\'s web based
1036,XenSource,"Developer of enterprise grade virtualization solutions. The company offers Xen 3.0, an open source hyper"
1037,AER Sustainable Energy,Developer of enzyme-based products for bio-fuel production from algae. The company offers enzyme-based products used
1038,PhotoRocket,"Provider of photo sharing services. The company enables photo sharing between family, friends, coworkers and"
1039,RapidMoney,"Provider of online financial services. The company provides an online platform for multiple transfer services,"
1040,Incomparable Things,Developer of a mobile application for sharing adventure experiences. The company provides a mobile social
1041,Ilypsa,Developer of renal care pharmaceutical products. The company develops non-absorbed polymeric phosphate and potassium binder
1042,Netgame Factory,Provider of systems to play games and lotteries using mobile phones and telephones. The company
1043,Graffiti,Provider of media services in the form of external marking and the digital printing. The
1044,IBM Daksh Business Process Services,Provider of business process outsourcing services. The company offers a range of customer care services
1045,CAVI,Provider of an online in-video purchase option. The company enables content-owners and publishers to integrate
1046,NewRiver,"Provider of innovative technology solutions that simplify investor disclosure, transparency and cost savings to the"
1047,NovoSource,Manufacturer of orthopedic implants and instruments. The company manufactures and supplies private label orthopedic implants
1048,Corventis,Developer of medical technologies for curing cardiovascular diseases. The company\'s core product is a non-invasive
1049,Florida Healthcare Analytics,Developer of healthcare software. The company provides healthcare-analytics software. It is a mobile application platform
1050,Roche NimbleGen,"Manufacturer and marketer of a proprietary suite of microarrays, related products and services for DNA"
1051,Qronus Interactive Israel,Provider of automated system testing software products. The company provides automated system testing tools for
1052,SugarSync,"Provider of cloud file sharing, online Backup & file sync service. The company provides services"
1053,Sportamore,"Operator of an e-Commerce company involved in selling sports related equipment. The company provides shoes,"
1054,TherMark,Developer of laser marking technology and materials. The company has a patented laser marking process
1055,Tinmar Holdings,Operator of a holding company. The company owns and operates endoscopy and surgical centers in
1056,FabKids,Provider of a children\'s brand and personalized e-commerce service. The company provides parents with ongoing
1057,Communication Services,"Operator of a wireless network service provider. The company provides communication infrastructure for cellular, private"
1058,Whereonearth,"Developer of localization technologies. The company offers online location-based services, that enables users to search"
1059,Ocean Riser Systems,Developer of drilling methods. The company manufactures drilling technologies and supplies drilling equipment for pressure
1060,Exalead,Provider of a search software for business and the web. The company provides a unified
1061,Reliant Pharmaceuticals,"Developer of cardiovascular therapies. The company acquires and develops branded pharmaceutical products, as well as"
1062,TRB International,"Manufacturer of men\'s luxury swimwear, accessories and resort wear. The company designs and distributes high"
1063,Zinwave,Supplier of in-building wireless coverage solutions. The company provides wideband active Distributed Antenna Systems (DAS)
1064,Vantia,"Developer of small molecule drugs. The company develops drugs for the treatment of nocturia, dysmenorrhoea,"
1065,Uni-Power Guaranty Company,Provider of financial guarantees. The company provides financial services to Chinese small and medium enterprises.
1066,Compring,Provider of a smart search platform for the flash sales and daily deals industry. The
1067,RAScom,"Provider of remote access servers for organizations that need to deploy network access to telecommuters,"
1068,alma bioinformatics,Developer of software for information retrieval and analysis of text biomedical data. The company specializes
1069,StreamTheWorld,Provider of media streaming technology platform for radio and television broadcasters. The company\'s streaming delivery
1070,Semprus BioSciences,Developer of implantable and permanently antimicrobial coating technology for the medical device market. The company\'s
1071,Balanced,"Provider of a payment system for marketplaces. The company allows marketplaces to charge cards, escrow"
1072,Intek Technologies,Developer of a desktop multimedia conferencing software. The company designs software development tools and programs
1073,Servicesoft,Developer of a customer support software. The company offers an online software that enables its
1074,Eventioz,Provider of online ticket sales and services. The company offers an online ticket platform for
1075,AppFog,Provider of a web based application platform. The company provides a platform as a service
1076,Camilion Solutions,Provider of product development and management services for insurance and other financial services organizations. The
1077,Krillion,"Operator of a shopping search engine. The company offers audio and video accessories, such as"
1078,Afferent Corporation,Developer of medical devices to treat chronic neurological dysfunction. The company\'s lead technology enhances the
1079,Fincentric,Provider of retail banking and customer value management software to the financial services industry. The
1080,Cybird,Provider of mobile internet services. The company provides mobile internet services geared towards businesses and
1081,Xsira Pharmaceuticals,Developer of drugs that regulate G protein-coupled receptors. The Company produces patented platform technology for
1082,Movetis,Developer of drugs for the treatment of diseases in the gastrointestinal (GI) area. The company\'s
1083,Beeem,Developer of mobile applications for picture sharing. The application developed by company allows users to
1084,Rasiris,Developer of photodynamic therapy (PDT) and the treatments of breast cancer and age-related macular degeneration.
1085,NomadIQ,Provider of location based applications services for handheld devices. The company offers a wireless service
1086,true[x] media,Operator of an online advertising network. The company connects people with brands to earn charitable
1087,Accord Biosciences,Developer of practical sensor systems to measure nitric oxide and its carriers in blood for
1088,SteelEye Technology,"Provider of cost-effective enterprise IT reliability solutions for business continuity. The company\'s application failover, data"
1089,iXAir,"Provider of private jet travel. The company provides private jet travel for business, as well"
1090,Paymins,Provider of social commerce platform. The company enables content creators to sell directly to fans
1091,Aubay,Provider of information technology and business intelligence services. The company provides services to share and
1092,Pixel Qi,Developer and producer of laptop screens. The company offers epaper diagonal screens for netbooks and
1093,Extrabux,"Operator of a comparison shopping website. The company enables consumers to compare prices,find coupons, and"
1094,Chronogen,Developer of small-molecule drugs to treat oxidative stress and lipid disorders in age-related diseases. The
1095,Snaptracs,Developer of pet GPS tracking systems for pet owners. The company offers a GPS pet
1096,Calista Technologies,"Provider of desktop computing technology services. The company offers Calista Virtual Desktop, a platform that"
1097,Singular ID,Provider of tagging services to combat counterfeiting and forgeries. The company provides an integrated anti-counterfeiting
1098,Attassa,Provider of a framework and a software development kit (SDK) that allows the rich integration
1099,Augure,Developer of influencer marketing software. The company develops public relations and influencer marketing software which
1100,Malcovery Security,Developer of a cloud based actionable cyber security intelligence services. The company develops and delivers
1101,Spring Partners,Provider of web and mobile phone applications that provide coupons for discounts at retailers. The
1102,Alkaline Water Company,"Provider of alkaline water where minerals are infused in the water, along with a 8.4"
1103,Expand Networks,Provider of wide area network optimization and application accelerators to enterprises and public sector clients.
1104,Context Media Technologies,Provider of social news. The company provides news mainly from the social networks.
1105,Cellumen,"Provider of cell-based drug discovery, early safety assessment, and discovery toxicology products and solutions for"
1106,AbeBooks,Provider of an online marketplace for books. The company offers collections of new as well
1107,Diktamen,Developer of workflow management and resource planning software. The company offers all-in-one dictation and transcription
1108,Syntensia,Provider of network security services. The company provides security on-demand solutions on subscription basis.
1109,Sipcall.com,"Developer of innovative Session Initiation Protocol (SIP) based services. The company\'s products include Hipsip, a"
1110,Unistar field of Science and Technology Co.,Operator of an online platform for stock photo transactions. The company offers various categories of
1111,Cartavi,Provider of cloud based document sharing platform. The company\'s platform allows everyone involved in a
1112,SiCortex,"Manufacturer of computers, computing systems, compiler suites, and personal development systems. The company also offers"
1113,Octalica,Developer of integrated chipset for high speed home multimedia networking over existing coax infrastructure. The
1114,Ziftr,Provider of a consumer shopping price engine. The company provides a browser that gives comparative
1115,NextEngine,"Provider of desktop 3D scanners. The company offers ScanStudio Core, a scanning and modeling software"
1116,Aratana Therapeutics,"Developer of biopharmaceutical technology for animals. The company develops proprietary, patent-protected compounds acquired from human"
1117,Tactilize,Provider of an online blogging platform. The company develops self-publishing service for Apple’s iPad and
1118,Agamit Medical,Developer of devices for patients suffering from mitral regurgitation. The company\'s devices mechanically modify the
1119,Mobile Commons,Provider of a platform to create and manage mobile marketing campaigns. The company provides tools
1120,Scrittura,"Manufacturer of software targeting the financial services markets. The company provides document management, confirmation and"
1121,eTree Marketing,Internet retailer of computer and digital products.
1122,Intel Corporation,Developer and manufacturer of microprocessors and other semiconductor components. The company develops integrated digital technology
1123,VoiceObjects,"Provider of a phone application server. The company\'s products include VoiceObjects Server, a phone application"
1124,Metirato,Operator of a social recruiting media. The company provides tools that helps job seekers to
1125,HowMark Mobile,Operator a mobile advertising platform for advertisers and publishers. The company provides performance marketing networks
1126,Finesample Group,Manufacturer of printed circuit boards. The company operates two trading companies Circast Electronics and Cirtron
1127,EqcoLogic,Owner and operator of a fabless semiconductor company. The company designs and develops equalizer and
1128,OnTrade Networks,Provider of a business-to-business lead and deal-generation platform for the travel industry. The company operates
1129,Macrae Food Group,Manufacturer and seller of ready to eat seafood. The company provides a variety of chilled
1130,CrowdSavings.com,Provider of an e-commerce marketplace offering consumers discounted products and services from local businesses and
1131,Westside Today,Publisher and distributor of monthly community news magazines to the upscale communities. They offer information
1132,Consignd,Provider of virtual consignment marketplace. The company connects sellers (individuals and brands alike) to content
1133,AdVentures,Operator of a media and music company. The company operates a national broadcast network in
1134,Usolie-Sibirsky Silicon,Manufacturer of polycrystalline silicon. The company is the manufacturer of a silicon product used as
1135,SocialCrunch,Provider of a behavior graph of internet users. The company has developed an application which
1136,Octopz,Provider of online collaboration services to professionals in both Small/Medium Business and Enterprise markets. The
1137,Beacon Capital Strategies,Provider of an electronic trading platform for execution of mortgage and asset backed fixed income
1138,Six3,"Provider of video communication platform. The company\'s platform allows people to share video messages, follow"
1139,Paragon Wireless,"Operator of online mobile store. The company offers mobile phones and mobile accessories, including mobile"
1140,Harper Leather Goods,Manufacturers and distributors of rawhide pet products such as dog bones and chews. The company\'s
1141,ACT Biotech,Developer of cancer drugs. The company is focused on the development and commercialization of targeted
1142,Greenvironment,Developer of micro-turbine technology.The company offers CHP plants in a power range of 30 kWel
1143,Frontera Films,Operator of a film studio. The company produces independent feature films in a range of
1144,Face.com,"Provider of facial recognition software for social networks. The company offers Photo Finder, an application"
1145,NuCORE Technology,Developer of digital and analog imaging devices for digital still and video cameras. The company
1146,Covestor,Provider of an asset management service. The company provides an online investing marketplace that allows
1147,TeleKnowledge Group,Provider of e-commerce services offering customer care and electronic billing. The company provides content commerce
1148,Flex Pharma,Operator of a biopharmaceutical company. The company develops clinically proven products and treatments for muscle
1149,Mobiliti,"Developer of software for virtual networking, data backup and file synchronization for desktops and laptops."
1150,Warwick Effect Polymers,Provider of specialty biopolymers for the modification of biological products. The company provides advanced polymers
1151,Zettics,Provider of mobile analytic and measurement applications. The company offers a monitoring and analytics tool
1152,Cisco Systems,"Designer, manufacturer and seller of Internet Protocol (IP) based networking technologies to its clients. The"
1153,Introspeckt,Operator of an online social music platform. The company\'s platform helps people to communicate by
1154,NXXI,"Manufacturer of products for the nutritional-supplement industry. The company uses patented technology to produce chromium-,"
1155,Sogemap,Producer of plastic products.
1156,iSpeak,"Provider of translation and localization services. The company offers document, website and email translation services"
1157,Provasculon,Developer of novel therapeutic proteins. The company develops therapeutic proteins that help organs damaged by
1158,Intechra Group,"Provider of information technology, asset disposition, value recovery, and computer recycling services to businesses and"
1159,Mimosa Systems,"Provider of immediacy, discovery and continuity for the new generation of critical enterprise information. The"
1160,P21,"Providers of autonomous energy supply and energy-efficient solutions, with the aim of replacing diesel generators"
1161,Travelmenu,Operator of an online travel agency. The company operates as a hotel booking engine and
1162,CFDT,Organizer of live music events. The company organizes and promotes concerts and festivals in the
1163,Rofous Software,"Provider of product engineering and content engineering services. The company offers enterprise application solutions, training"
1164,Allegro Manufacturing,Provider of a semiconductor front-end equipment foundry. The company provides outsourcing and manufacturing services to
1165,Instytut Rozwoju Reklamy,Provider of marketing services. The company operates as a full service advertising agency developing internet
1166,Grapple Mobile,"Developer of application software for the mobile market. The company designs, creates and distributes mobile"
1167,Authenticlick,Operator of a web analytics company. The company specializes in web traffic intelligence services for
1168,AirAsia X,Provider of airline services. The company provides passenger and cargo air transportation services.
1169,Netgem,Netgem provides connected home entertainment solutions to multiservice operators. Its nCloud software platform and hardware
1170,PureWave Networks,"Developer of adaptive beamforming 4G base station equipment. The company\'s s services include Quantum 1000,"
1171,Vocalis Group,"Provider of speech recognition technology applications. The company offers speech recognition systems for call centres,"
1172,Green Car,Provider of an online platform for car rental services. The company\'s platform provides car sharing
1173,Speedchain Networks,Provider of supply chain event management and global e-logistics services. The company through its web-native
1174,FiltrBox,"Provider of social media monitoring platform for marketers, PR professionals, brand managers and customer service"
1175,ULSD,"Researcher of oral biology as well as olecular, cellular and craniofacial biology with faculty members."
1176,Appeering,"Provider of a web-based tool-set that helps professional users discover and manage the most important,"
1177,Procite,Provider of information reference management software. The company has developed a software which give users
1178,CyMed,Provider of medical transcription and document management services. The company offers workflow management services which
1179,StorageApps,"Provider of all-encompassing solutions, applications and appliances for storage-based network services. The company\'s appliances and"
1180,Proven Energy,"Manufacturer and supplier of small-scale wind turbines. The company designs, manufactures and markets wind turbines"
1181,DynamicOps,"Provider of virtual infrastructure and lifecycle management software solutions. The company offers Virtual Resource Manager,"
1182,Reholz,Manufacturer of three-dimensionally deformable veneer for moldings and coatings. The company offers products for the
1183,NetByTel,Provider of speech recognition call center software solutions. The company offers multichannel leverage point for
1184,Revolymer,"Developer of polymers for consumer products. The firm designs, develops and formulates polymers for consumer"
1185,FoodShouldTasteGood,"Manufacturer of natural tortilla chips. The company offers multigrain, jalapeño, olive, chocolate, sweet potato, cantina,"
1186,Pomocni.pl,Provider of online marketplace in Poland for local contractors. The company provides a listing service
1187,iGet.it,Operator of an online private buying club of exclusive products. The company provides opportunity to
1188,BioMicro Systems,Developer of biological research products for the life sciences community. The company’s products include microarray
1189,ProVision Communications,"Provider of digital wireless technology. The company designs, develops and licenses wireless, multi-room technologies for"
1190,American Sports Products Group,"Provider of sports and recreation infrastructure facilities. The company designs, manufactures, and installs various kinds"
1191,Peminic,Developer of healthcare IT workflow and process management software. The company offers integrated software solutions
1192,BlueSpace Software,Provider of cross domain applications and electronic messaging. The company serves the defense and intelligence
1193,Coverity,Provider of source code analysis tools for identifying software defects in the software development life
1194,Oxford Imaging Detectors,Developer of scientific imaging detectors. The company offers products for studying structures and processes at
1195,Omnisio,"Provider of online videos. The company enables user to annotate videos, combine clips, and synchronize"
1196,Gradient Design Automation (Electrothermal Analysis Technology),Developer of a electrothermal analysis software. The company offers an technology which allows designers to
1197,Shopa,Developer of a social advertising platform. The company provides a social marketplace for its users
1198,Apps & Zerts,Developer and provider of applications for mobile phones. The company develops applications that enables users
1199,Mozy,Provider of online backup system for Windows and Mac users. The company provides service to
1200,BioArray Solutions,"Developer of a technology for rapid biomolecular analysis that combines microparticle chemistry, semiconductor physics and"
1201,Atakama Labs,"Developer of social games. The company develops games for social platforms such as Facebook, Orkut,"
1202,NuScale Power,Designer of electric light water reactor nuclear power plants for nuclear power generation applications in
1203,Les Nouvelles Jardineries,Operator of a garden-store chain. The company sells budget-priced garden supplies from its chain of
1204,Konova,Developer of anti-obesity drugs. The company develops drugs that are used for the treatment of
1205,Librify,"Operator of a social reading website. The company provides a platform for purchasing e-books, collecting"
1206,TargetCast Networks,Operator of a digital advertising company that provides venue operators to create and post their
1207,AVENT Holdings,"Provider of baby feeding and monitoring systems including breast pumps, milk storage containers, breast comfort"
1208,Savonia Power,Operator of power plants for combined heat and electricity production. The company specializes in power
1209,Targovax,Operator of an oncology bio-pharmaceutical company. The company develops therapeutic vaccine for pancreatic cancer.
1210,Atomic Dog Publishing,Publisher of hybrid media textbooks for college courses. The company focuses on social sciences and
1211,Inostics,"Provider of diagnostic services. The company provides molecular diagnostics testing for physicians, clinical trials, and"
1212,A World of Tile,Owner and operator of a chain of retail tile and stone stores. The company\'s stores
1213,StrataGent Life Sciences,Developer of painless and non-invasive versions of therapies. The company offers large and small therapeutic
1214,Storific,Developer of a mobile application to find and order food from restaurants. The company is
1215,Novera Optics,Developer of optical access solutions to overcome the bandwidth bottlenecks in copper-based last mile networks.
1216,Natur\'Inov,Provider and distributor of organic and natural products. The company is into the distribution of
1217,TweetBackup,Provider of a Twitter backup service. The company offers an online Twitter backup tool and
1218,Nauticus Networks,Developer of internet infrastructure products. The company offers customer support programs for enterprise networks and
1219,Industrial Solar,Manufacturer of heating and cooling devices that utilizes solar power. The company offers solar Fresnel
1220,PropelAd,Provider of digital advertising services. The company makes advertising products on facebook and provides marketing
1221,Whyred,Manufacturer of apparel for men and women. The company also provides online shopping options for
